transaction_id,date,amount,merchant_name,category,payment_channel,pending
tx_7e922daf09e1,2025-10-11 13:20:35,-10.75,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_bc45a162f642,2025-10-10 12:33:06,-13.32,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_d5164e6bb665,2025-10-10 09:22:09,-512.03,Southwest Airlines,"[""Travel"", ""Airfare""]",in store,False
tx_c4d66f8079ab,2025-10-10 05:55:02,-14.45,Whole Foods Market,"[""Food"", ""Groceries""]",in store,False
tx_1006c3640298,2025-10-09 13:17:02,-10.46,Amazon Marketplace,"[""Shopping"", ""Online""]",online,False
tx_2593a65b0d03,2025-10-08 20:05:27,-6.56,Local Grocery Store,"[""Food"", ""Groceries""]",in store,False
tx_059a4e9dc4cd,2025-10-07 12:52:28,-10.79,Lyft,"[""Travel"", ""Taxi""]",online,False
tx_e8a5c513ad1c,2025-10-06 21:44:30,-11.11,Chevron,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_462a3f3dad2e,2025-10-06 20:00:36,-5.54,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_e25d6caac284,2025-10-05 21:41:52,-171.07,Concert Tickets,"[""Entertainment"", ""Tickets""]",online,False
tx_2130fc7cfc17,2025-10-05 13:05:27,-6.24,City Utilities,"[""Utilities"", ""Electric""]",in store,False
tx_a9cac20d516e,2025-10-05 08:11:26,-125.1,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_933b356c6a25,2025-10-02 22:06:00,-34.96,IKEA,"[""Shopping"", ""Home""]",in store,False
tx_3ce257d38213,2025-09-30 22:16:20,-119.79,Southwest Airlines,"[""Travel"", ""Airfare""]",online,False
tx_4f80a3ef0ca3,2025-09-30 08:20:06,-43.45,Unknown Merchant,"[""Uncategorized""]",in store,False
tx_3f6f417e9aca,2025-09-28 19:15:06,-23.17,Comcast,"[""Utilities"", ""Internet""]",in store,False
tx_06840a4d984b,2025-09-25 08:43:07,-4.34,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_02ccd088f7a3,2025-09-23 20:44:28,-26.89,Netflix,"[""Entertainment"", ""Subscriptions""]",online,False
tx_b4dbd89feb02,2025-09-22 20:10:39,-17.41,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_d2e0f2904057,2025-09-21 20:42:22,-19.44,Target,"[""Shopping"", ""Retail""]",in store,False
tx_493a61f585f4,2025-09-20 18:28:31,-24.27,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_ef6aa0cde048,2025-09-19 12:06:42,-6.57,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_ea3009fffa69,2025-09-19 08:15:13,-97.05,Concert Tickets,"[""Entertainment"", ""Tickets""]",in store,False
tx_756d9884c97e,2025-09-18 12:23:27,-17.96,IKEA,"[""Shopping"", ""Home""]",in store,False
tx_635b4abad50f,2025-09-18 08:34:07,-20.08,Comcast,"[""Utilities"", ""Internet""]",in store,False
tx_3e32b51311ce,2025-09-17 21:19:29,-17.06,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_47d82532ff8b,2025-09-17 08:31:08,-59.57,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",online,False
tx_8cd4f5329e7d,2025-09-16 18:50:25,1936.18,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,True
tx_42f495fc416e,2025-09-16 18:00:03,-22.55,Amazon Marketplace,"[""Shopping"", ""Online""]",online,False
tx_1254716c604f,2025-09-16 08:51:53,-29.8,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_f0c4a5670e03,2025-09-15 20:03:01,-22.1,Chevron,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_8f583a4ff108,2025-09-13 22:09:07,-7.85,IKEA,"[""Shopping"", ""Home""]",in store,False
tx_2034b60a34a4,2025-09-13 13:33:34,-484.43,Marriott Hotels,"[""Travel"", ""Lodging""]",online,True
tx_b492743af3b5,2025-09-12 20:01:20,-8.5,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_ffb2cb0cf97d,2025-09-11 12:46:27,766.33,WholePay,"[""Payment"", ""Credit Card""]",online,False
tx_b3c761aebd86,2025-09-10 07:44:46,99.08,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_0bf83a3e695b,2025-09-09 20:07:36,-28.33,Gym Membership,"[""Health"", ""Fitness""]",in store,False
tx_45e4a4606b69,2025-09-09 19:39:42,92.12,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_8de52dcd9a1b,2025-09-08 22:17:33,124.19,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_ca5c149eb9c4,2025-09-07 13:25:37,-16.69,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_fd9134584749,2025-09-06 22:57:51,83.83,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_4e58c8ae3e85,2025-09-06 22:40:19,-50.61,Target,"[""Shopping"", ""Retail""]",in store,False
tx_4bafceaf34f4,2025-09-05 20:37:51,-11.54,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",online,False
tx_829bd7427553,2025-09-03 21:47:37,-14.25,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_4a7749541120,2025-09-03 18:53:48,-14.95,Uber *Trip,"[""Travel"", ""Taxi""]",online,False
tx_504a2f2ed755,2025-09-03 13:29:19,-21.38,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_f0a711e88a27,2025-09-02 22:33:50,-8.15,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_b093c44eccc1,2025-09-02 13:26:09,-32.63,City Utilities,"[""Utilities"", ""Electric""]",in store,False
tx_1f120e7566f6,2025-09-01 08:22:30,-13.57,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_a4f22756c01b,2025-08-31 22:44:14,-9.86,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_9de9f29072b8,2025-08-31 12:19:51,-23.8,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_431398014700,2025-08-30 21:34:50,-62.02,City Utilities,"[""Utilities"", ""Electric""]",online,False
tx_e4d33757913e,2025-08-30 08:17:52,-9.2,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_68d3bed7af20,2025-08-29 13:35:32,-17.6,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_cccce0d1ee24,2025-08-28 12:55:43,-17.88,City Utilities,"[""Utilities"", ""Electric""]",online,False
tx_fa4960922189,2025-08-28 07:41:14,-34.39,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_5a56645b68c3,2025-08-27 20:24:36,-377.17,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_d4867adf200b,2025-08-27 08:05:00,-133.02,City Utilities,"[""Utilities"", ""Electric""]",online,True
tx_431e9f8068f4,2025-08-26 19:05:56,-23.03,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_ca28b24a8207,2025-08-25 07:44:33,1727.78,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_9fc590e7557a,2025-08-24 13:52:46,-303.48,Concert Tickets,"[""Entertainment"", ""Tickets""]",in store,False
tx_e41c22b01fff,2025-08-24 12:50:40,-14.68,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_72889bd0e669,2025-08-24 09:55:23,-13.5,Lyft,"[""Travel"", ""Taxi""]",in store,False
tx_0a2d106790ef,2025-08-23 22:48:50,-1350.0,Rent - Apt 2B,"[""Housing"", ""Rent""]",in store,False
tx_7160ec174f70,2025-08-23 20:02:18,1645.84,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_381919471124,2025-08-23 19:41:43,-21.42,City Utilities,"[""Utilities"", ""Electric""]",in store,False
tx_7d4f2b8e9cfb,2025-08-23 12:54:14,-75.44,Marriott Hotels,"[""Travel"", ""Lodging""]",in store,False
tx_2fad729b6e2a,2025-08-17 13:26:19,-1.87,McDonald's,"[""Food"", ""Fast Food""]",online,False
tx_c7a9d7613487,2025-08-16 08:25:14,-17.26,Spotify,"[""Entertainment"", ""Subscriptions""]",online,False
tx_e1bd13c9b891,2025-08-16 07:08:39,-44.01,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_44fe892cc444,2025-08-15 09:29:31,-255.85,Southwest Airlines,"[""Travel"", ""Airfare""]",in store,False
tx_3b9c432bf4bd,2025-08-15 07:45:12,-31.38,Electric Vehicle Charge,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_9d9071d1f47d,2025-08-14 21:31:09,-321.17,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_26ca7bd93f57,2025-08-14 07:55:40,-9.78,Best Buy,"[""Shopping"", ""Electronics""]",in store,False
tx_526a9c82b929,2025-08-13 22:41:40,-106.85,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_2ade7ae42d5e,2025-08-13 12:08:42,-3.15,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_d0317523570c,2025-08-13 08:35:08,1269.55,WholePay,"[""Payment"", ""Credit Card""]",online,False
tx_0fc5810ab9ef,2025-08-12 18:22:41,-28.26,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_0989504176a1,2025-08-11 07:28:34,-12.01,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_d9f90c282718,2025-08-10 18:44:54,-23.29,Walmart Supercenter,"[""Shopping"", ""Retail""]",online,False
tx_1ade2aa70e30,2025-08-09 22:52:46,-19.88,Gym Membership,"[""Health"", ""Fitness""]",in store,False
tx_852b7bf9f621,2025-08-08 18:17:28,-19.52,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_819323563238,2025-08-08 07:12:53,-6.74,Whole Foods Market,"[""Food"", ""Groceries""]",in store,True
tx_a69183a7c844,2025-08-06 00:29:39,-16.42,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_e614b6285704,2025-08-05 07:55:10,146.21,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_b421eb327aa6,2025-08-05 01:13:38,-55.87,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_8fba1ab97b37,2025-08-04 09:56:02,413.31,WholePay,"[""Payment"", ""Credit Card""]",online,True
tx_77a335489844,2025-08-03 20:14:49,-326.61,Southwest Airlines,"[""Travel"", ""Airfare""]",in store,False
tx_132a3ec55774,2025-08-03 15:58:15,-23.65,Costco,"[""Shopping"", ""Wholesale""]",online,False
tx_e694f97d1213,2025-08-03 07:48:40,-29.93,Apple Services,"[""Technology"", ""Subscriptions""]",online,False
tx_b4fe5d545412,2025-07-31 13:26:12,-12.11,Spotify,"[""Entertainment"", ""Subscriptions""]",online,False
tx_48412d91ecf6,2025-07-30 22:33:41,-14.84,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_10624e203bb8,2025-07-30 12:47:04,-11.47,Uber *Trip,"[""Travel"", ""Taxi""]",in store,False
tx_325fa61b92e4,2025-07-29 07:35:10,-60.6,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_1c947625ecdc,2025-07-29 05:04:23,-35.74,Amazon Marketplace,"[""Shopping"", ""Online""]",online,False
tx_1c9f9cf6ff1b,2025-07-27 12:24:57,-72.58,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_c623715cc525,2025-07-26 18:55:44,-47.99,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",online,False
tx_f64f966a0dcf,2025-07-25 19:02:22,-146.24,Electric Vehicle Charge,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_6da6bdd041ad,2025-07-24 19:33:21,-447.56,Airbnb,"[""Travel"", ""Lodging""]",online,False
tx_16f82f5c4a55,2025-07-24 12:31:14,83.04,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_352165128c84,2025-07-22 20:49:20,-6.85,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",online,False
tx_fead04cc7a08,2025-07-22 12:08:43,-6.71,Costco,"[""Shopping"", ""Wholesale""]",in store,False
tx_851c684e9a63,2025-07-20 12:26:15,-25.07,Target,"[""Shopping"", ""Retail""]",in store,False
tx_6c71c07ef69d,2025-07-19 07:54:32,-106.79,Walmart Supercenter,"[""Shopping"", ""Retail""]",online,False
tx_4960cff25472,2025-07-19 00:48:01,-32.16,Uber *Trip,"[""Travel"", ""Taxi""]",in store,False
tx_c397a3e0e5ac,2025-07-18 22:12:23,-22.94,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_6e965c4cd0ec,2025-07-17 22:34:01,-14.77,Parking Garage,"[""Transportation"", ""Parking""]",in store,False
tx_4d13be890215,2025-07-17 19:27:41,1269.93,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_5282c6758d03,2025-07-16 21:38:37,-56.2,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_ce1b7cf0a6f9,2025-07-16 18:53:11,-13.52,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_30a21ad0e637,2025-07-14 13:23:43,-60.04,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",online,False
tx_6acfa40fa01f,2025-07-13 12:44:30,-61.54,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_fed306a09f56,2025-07-11 18:07:45,-40.76,Shell Service Station,"[""Transportation"", ""Gas & Fuel""]",in store,False
tx_d9048ee19b3d,2025-07-11 13:22:28,-16.14,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_4b5d9344d639,2025-07-10 21:02:18,-12.36,Walmart Supercenter,"[""Shopping"", ""Retail""]",online,False
tx_caf855d4474d,2025-07-10 13:25:08,-10.1,Netflix,"[""Entertainment"", ""Subscriptions""]",online,False
tx_c6e5200b1361,2025-07-07 22:05:59,-205.73,Southwest Airlines,"[""Travel"", ""Airfare""]",in store,False
tx_b2f3db3a776e,2025-07-07 13:28:57,-191.96,Southwest Airlines,"[""Travel"", ""Airfare""]",in store,False
tx_d894e6399a0c,2025-07-06 08:25:32,-123.12,Target,"[""Shopping"", ""Retail""]",in store,False
tx_843cccf1d90d,2025-07-05 02:31:24,-45.62,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",online,False
tx_40901f2c9869,2025-07-04 08:53:44,-3.49,Local Grocery Store,"[""Food"", ""Groceries""]",online,False
tx_fc69147775b6,2025-07-03 12:24:35,-3.51,IKEA,"[""Shopping"", ""Home""]",online,False
tx_9ca43c92238f,2025-07-03 07:46:33,-1350.0,Rent - Apt 2B,"[""Housing"", ""Rent""]",in store,False
tx_99e6ec9972ef,2025-07-02 08:26:21,-3.58,Lyft,"[""Travel"", ""Taxi""]",in store,False
tx_1524cd97a986,2025-07-01 09:31:20,-24.27,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_dbdbf7d34e6c,2025-07-01 09:10:38,-10.81,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_26f20bcfaaa5,2025-06-30 20:07:55,-9.85,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_1ecf609d52cf,2025-06-30 18:24:57,-1350.0,Rent - Apt 2B,"[""Housing"", ""Rent""]",in store,False
tx_52bd78aeb093,2025-06-29 12:54:49,-9.6,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_3d648934c1f8,2025-06-28 07:32:46,-15.93,Unknown Merchant,"[""Uncategorized""]",in store,False
tx_b7e7bf0a1d57,2025-06-26 18:34:37,-11.78,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_37ed2db0d03f,2025-06-25 19:53:54,-25.65,Google *Play,"[""Technology"", ""Subscriptions""]",online,False
tx_efe0fca316d4,2025-06-24 21:28:39,-24.55,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,True
tx_ba1d622b2e0a,2025-06-22 20:08:06,-259.38,Marriott Hotels,"[""Travel"", ""Lodging""]",in store,False
tx_a9271e6bc400,2025-06-22 19:08:22,-37.77,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_9fb904b32581,2025-06-22 07:03:17,-16.52,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_1c7b1c9816d7,2025-06-20 09:46:33,-7.04,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",online,False
tx_1e4d0320541c,2025-06-18 20:19:10,-93.2,Southwest Airlines,"[""Travel"", ""Airfare""]",online,False
tx_1fc1b1628364,2025-06-18 19:32:54,-3.81,Target,"[""Shopping"", ""Retail""]",online,False
tx_db55a36067ec,2025-06-17 10:57:31,-15.83,Verizon Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_8bf92b11b87a,2025-06-17 08:50:50,-36.71,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_e9e4c734b06f,2025-06-16 21:31:11,-17.34,Lyft,"[""Travel"", ""Taxi""]",online,False
tx_e9a1ca1d762d,2025-06-16 12:00:47,143.72,Refund - Amazon,"[""Refunds"", ""Online""]",online,False
tx_3af9685f840b,2025-06-15 22:19:39,-18.98,Walmart Supercenter,"[""Shopping"", ""Retail""]",in store,False
tx_07dc89bff765,2025-06-15 19:20:53,-8.01,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_118dc07979cf,2025-06-15 19:19:44,-85.23,Concert Tickets,"[""Entertainment"", ""Tickets""]",in store,False
tx_e562403d4b13,2025-06-12 22:48:17,-9.81,Starbucks,"[""Food"", ""Coffee""]",in store,False
tx_ef03e32927a1,2025-06-12 18:33:28,-52.34,Airbnb,"[""Travel"", ""Lodging""]",in store,False
tx_59363189f612,2025-06-11 22:09:22,952.97,Payment - Thank You,"[""Payment"", ""Credit Card""]",online,False
tx_c0c78d1debc0,2025-06-11 12:43:31,-9.05,Pharmacy Rx,"[""Healthcare"", ""Pharmacy""]",in store,False
tx_05d49ab5b207,2025-06-09 06:46:02,-58.6,IKEA,"[""Shopping"", ""Home""]",online,False
tx_530958d49d6b,2025-06-08 15:39:00,-3.53,Target,"[""Shopping"", ""Retail""]",in store,False
tx_1897b2946f98,2025-06-08 07:39:56,-17.43,Amazon Marketplace,"[""Shopping"", ""Online""]",online,False
tx_3dc42345b6e4,2025-06-06 12:09:01,-573.92,Airbnb,"[""Travel"", ""Lodging""]",online,False
tx_4e6dbad0405a,2025-06-06 07:00:26,-18.68,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",in store,False
tx_4141fa8a4006,2025-06-05 01:52:50,-61.94,AT&T Wireless,"[""Utilities"", ""Cell Phone""]",online,False
